Year,Region,Temperature (°C),Rainfall (mm),Humidity (%),Soil pH,N (kg/ha),P (kg/ha),K (kg/ha),Yield (kg/ha)
2006,Tumkur,23.48905793223134,866.6767184330276,53.91978968118852,7.251748117200891,129.64409922754157,82.10344741045282,232.75099931411148,257.8967730772813
2019,Hasan,21.732587992346993,883.5804494534195,75.37189642081321,6.520209881307132,103.31974085650106,72.58078628614405,235.78790430830736,256.3500570399838
2014,Mysore,24.891590849581902,1348.169073375105,82.32395921974047,6.480590386968323,195.1717300638353,76.11270157360207,204.45226309282788,406.9128030604792
2010,Tumkur,23.30656827338921,1045.0733629991946,83.4229875830838,6.743191541889395,150.14921463950685,71.69567282369826,243.71574856798816,306.4640465049671
2007,Hasan,33.87932292189733,957.0567793846658,73.11628570007585,6.958415178459626,150.2523914693815,98.2976506797778,153.01701930569902,285.4288123744157
2020,Mysore,33.019499630031966,1046.99088286145,50.69982189944676,6.21234234488375,192.34361453455983,88.96548713533362,151.00960098285375,329.97389794618033
2006,Mysore,27.495248454243562,1251.7315689806653,88.9485160656694,6.509283766732457,128.99182359285797,86.87663292406893,158.1459364164673,382.7551094689092
2018,Tumkur,20.92015811725802,1182.7509873797985,68.88786811032486,6.670208371646346,133.21061300457458,71.03973921182391,155.78577154534517,348.0395883904942
2022,Mysore,30.718435191397344,1320.5125845648581,65.74383581094392,7.476756167671822,165.6347694395143,59.90856745417248,192.46109877822008,405.2835684893712
2010,Tumkur,29.35117597004397,1037.3519039372434,65.79794854709053,6.675424392911833,178.51759548993942,41.170845660265634,244.03211039219866,315.6256566997291
2010,Mysore,34.558320060927436,1116.4200014252797,66.96603520233066,5.948373101484513,169.93107254324912,42.60580146158319,217.52235499919362,354.7097408566632
2023,Hasan,28.384298604055655,871.3778582740465,59.68722872691012,6.675979716480521,178.87182825222783,41.81427550974669,215.94528612444566,261.037082625093
2020,Tumkur,25.045905851043642,851.141052222947,63.093345029993195,7.138999165898037,157.5108039290597,98.82860600666352,188.48860423368797,238.6027131305134
